2	1	1	1	1	1	1	1	1	1	1	1	fD
2	2	2	1	1	1	1	1	1	1	1	4	fD
2	2	2	2	2	1	1	1	1	1	1	9	fD
2	2	2	2	2	2	2	1	1	1	1	15	fD
2	2	2	2	2	2	2	2	2	1	1	15	PC,Con=1,Disc=14
2	2	2	2	2	2	2	2	2	2	2	6	PC,Con=1,Disc=5
3	2	1	1	1	1	1	1	1	1	1	2	fD
3	2	2	2	1	1	1	1	1	1	1	13	fD
3	2	2	2	2	2	1	1	1	1	1	37	fD
3	2	2	2	2	2	2	2	1	1	1	52	PC,Con=8,Disc=44
3	2	2	2	2	2	2	2	2	2	1	26	PC,Con=8,Disc=18
3	3	2	1	1	1	1	1	1	1	1	6	fD
3	3	2	2	2	1	1	1	1	1	1	46	fD
3	3	2	2	2	2	2	1	1	1	1	138	PC,Con=27,Disc=111
3	3	2	2	2	2	2	2	2	1	1	161	PC,Con=70,Disc=91
3	3	2	2	2	2	2	2	2	2	2	49	PC,Con=23,Disc=26
3	3	3	2	1	1	1	1	1	1	1	13	fD
3	3	3	2	2	2	1	1	1	1	1	117	PC,Con=24,Disc=93
3	3	3	2	2	2	2	2	1	1	1	329	PC,Con=166,Disc=163
3	3	3	2	2	2	2	2	2	2	1	247	PC,Con=178,Disc=69
3	3	3	3	2	1	1	1	1	1	1	31	PC,Con=6,Disc=25
3	3	3	3	2	2	2	1	1	1	1	281	PC,Con=127,Disc=154
3	3	3	3	2	2	2	2	2	1	1	650	PC,Con=473,Disc=177
3	3	3	3	2	2	2	2	2	2	2	255	PC,Con=197,Disc=58
3	3	3	3	3	2	1	1	1	1	1	61	PC,Con=23,Disc=38
3	3	3	3	3	2	2	2	1	1	1	517	PC,Con=353,Disc=164
3	3	3	3	3	2	2	2	2	2	1	783	PC,Con=704,Disc=79
3	3	3	3	3	3	2	1	1	1	1	117	PC,Con=65,Disc=52
3	3	3	3	3	3	2	2	2	1	1	798	PC,Con=664,Disc=134
3	3	3	3	3	3	2	2	2	2	2	590	PC,Con=536,Disc=54
3	3	3	3	3	3	3	2	1	1	1	174	PC,Con=129,Disc=45
3	3	3	3	3	3	3	2	2	2	1	797	PC,Con=759,Disc=38
3	3	3	3	3	3	3	3	2	1	1	232	PC,Con=197,Disc=35
3	3	3	3	3	3	3	3	2	2	2	510	PC,Con=482,Disc=28
3	3	3	3	3	3	3	3	3	2	1	197	PC,Con=189,Disc=8
3	3	3	3	3	3	3	3	3	3	2	120	PC,Con=114,Disc=6
