2	1	1	1	1	1	1	1	fD
2	2	2	1	1	1	1	3	fD
2	2	2	2	2	1	1	4	PC,Con=1,Disc=3
2	2	2	2	2	2	2	2	PC,Con=1,Disc=1
3	2	1	1	1	1	1	2	fD
3	2	2	2	1	1	1	7	PC,Con=3,Disc=4
3	2	2	2	2	2	1	5	PC,Con=4,Disc=1
3	3	2	1	1	1	1	3	PC,Con=2,Disc=1
3	3	2	2	2	1	1	12	PC,Con=9,Disc=3
3	3	2	2	2	2	2	7	PC,Con=6,Disc=1
3	3	3	2	1	1	1	4	PC,Con=3,Disc=1
3	3	3	2	2	2	1	11	fc
3	3	3	3	2	1	1	7	PC,Con=5,Disc=2
3	3	3	3	2	2	2	11	PC,Con=10,Disc=1
3	3	3	3	3	2	1	5	fc
3	3	3	3	3	3	2	4	fc
4	1	1	1	1	1	1	1	fD
4	2	2	1	1	1	1	3	PC,Con=2,Disc=1
4	2	2	2	2	1	1	5	PC,Con=4,Disc=1
4	2	2	2	2	2	2	2	fc
4	3	1	1	1	1	1	1	fc
4	3	2	2	1	1	1	7	PC,Con=6,Disc=1
4	3	2	2	2	2	1	11	fc
4	3	3	1	1	1	1	1	fc
4	3	3	2	2	1	1	14	PC,Con=13,Disc=1
4	3	3	2	2	2	2	13	fc
4	3	3	3	1	1	1	3	PC,Con=2,Disc=1
4	3	3	3	2	2	1	20	fc
4	3	3	3	3	1	1	6	PC,Con=5,Disc=1
4	3	3	3	3	2	2	18	fc
4	3	3	3	3	3	1	5	fc
4	3	3	3	3	3	3	4	fc
4	4	2	1	1	1	1	1	fc
4	4	2	2	2	1	1	5	PC,Con=4,Disc=1
4	4	2	2	2	2	2	4	fc
4	4	3	2	1	1	1	2	fc
4	4	3	2	2	2	1	11	fc
4	4	3	3	2	1	1	9	PC,Con=8,Disc=1
4	4	3	3	2	2	2	19	fc
4	4	3	3	3	2	1	17	fc
4	4	3	3	3	3	2	18	fc
4	4	4	2	2	1	1	2	fc
4	4	4	2	2	2	2	3	fc
4	4	4	3	1	1	1	1	fc
4	4	4	3	2	2	1	8	fc
4	4	4	3	3	1	1	5	PC,Con=4,Disc=1
4	4	4	3	3	2	2	19	fc
4	4	4	3	3	3	1	8	fc
4	4	4	3	3	3	3	11	fc
